Timestamp,P1. Me identifico como:,P2. Edad (Número entero solamente):,P3. Estado de procedencia,P4. Área de conocimiento,P5. ¿Cuál es tu nivel de Python?,P6. ¿Cuál es tu nivel de Quarto?,P7. ¿Cuál es tu nivel de GitHub Pages?,P8 ¿Qué ODS te interesa más?,P9 ¿Cuales de estos habitos sostenibles practicas?,P10 ¿En qué acción cilmática has participado? ,P12. ¿Qué musica escuchas más mientras programas/estudias?,P12. ¿Con qué animal te identificas cuando estas en una junta?,P13. Mi snack/botana favorita es:,P14. ¿Cuántas horas esperas dormir en la final de HackODS?,"P15. Si pudieras tener un super poder para HackODS, ¿Cuál sería? "
2/19/2026 15:26:41,Mujer,31,Aguascalientes,Artes,Principiante,Nunca lo usé,Principiante,Educacion de calidad,"Reciclo, Consumo local, Eficiencia energética","Firma de peticiones, Educación a otras personas, Contenido en redes",Otra,"Buh@: Eres una persona nocturna, piensas mucho",Café,0,No dormir
2/19/2026 15:31:26,Mujer,35,Baja California,Ciencias,Principiante,Nunca lo usé,Principiante,Educacion de calidad,"Transporte público, Uso bicicleta, Separo basura, Consumo local","Firma de peticiones, Proyecto comunitario, Donaciones",Otra,"Gat@: Eres independiente, apareces cuando quieres y no cuando quieren",Gomitas,4,Hablar cualquier idioma
2/19/2026 15:35:48,Hombre,22,Guanajuato,Ingenierías,Avanzado,Nunca lo usé,Nunca lo usé,Fin de la pobreza,"Transporte público, Separo basura, Consumo local",Ninguna aún,Pop,"Gat@: Eres independiente, apareces cuando quieres y no cuando quieren",Café,8,Paciencia infinita
2/19/2026 15:41:05,Hombre,20,Oaxaca,Ingenierías,Principiante,Nunca lo usé,Nunca lo usé,Vida de ecosistemas terrestres,"Transporte público, Separo basura, Consumo local",Voluntariado en acciones relacionadas,Pop,"Buh@: Eres una persona nocturna, piensas mucho",Gomitas,3,Debuggear código con la mente
2/19/2026 15:47:27,Mujer,21,Morelos,Ciencias,Intermedio,Nunca lo usé,Principiante,Reduccion de las desigualdades,"Reciclo, Transporte público, Consumo local",Firma de peticiones,Rock,"Buh@: Eres una persona nocturna, piensas mucho",Galletas,1,Entender cualquier conjunto de datos
2/19/2026 15:48:09,Hombre,21,CDMX,Ciencias,Principiante,Nunca lo usé,Principiante,Reduccion de las desigualdades,"Reciclo, Transporte público, Uso bicicleta, Separo basura, Consumo local, Eficiencia energética","Educación a otras personas, Donaciones",Pop,Golden retriever: Entusiasta y leal,Fruta,6,Entender cualquier conjunto de datos
2/19/2026 15:48:59,Mujer,36,Chiapas,Salud,Principiante,Principiante,Nunca lo usé,Salud y bienestar,"Reciclo, Transporte público, Consumo local","Firma de peticiones, Donaciones",Pop,"Buh@: Eres una persona nocturna, piensas mucho",Fruta,4,Hablar cualquier idioma
2/19/2026 15:51:12,Hombre,22,CDMX,Ingenierías,Intermedio,Nunca lo usé,Principiante,Educacion de calidad,"Reciclo, Transporte público, Uso bicicleta",Proyecto comunitario,Pop,"Buh@: Eres una persona nocturna, piensas mucho",Fruta,3,Hablar cualquier idioma
2/19/2026 16:07:38,Hombre,32,Puebla,Ciencias,Intermedio,Nunca lo usé,Principiante,Agua limpia y saneamiento,Transporte público,Ninguna aún,Pop,Capibara: Te llevas bien con todes,Pizza,0,Entender cualquier conjunto de datos
2/19/2026 16:09:58,Mujer,26,Yucatán,Ciencias,Intermedio,Nunca lo usé,Nunca lo usé,Energia asequible y no contaminante,"Reciclo, Transporte público, Separo basura, Consumo local",Firma de peticiones,Lo-fi/Chill,Ajolote: Se adapta a todo,Gomitas,4,Entender cualquier conjunto de datos
2/19/2026 16:22:19,Hombre,20,Morelos,Ingenierías,Intermedio,Principiante,Principiante,Energia asequible y no contaminante,"Reciclo, Composto, Separo basura, Consumo local","Marcha o protesta, Firma de peticiones, Educación a otras personas, Proyecto comunitario, Voluntariado en acciones relacionadas",No escucho música,"Buh@: Eres una persona nocturna, piensas mucho",Chocolate,0,Entender cualquier conjunto de datos
2/19/2026 16:24:29,Mujer,28,Michoacán,Ciencias,Nunca lo usé,Nunca lo usé,Nunca lo usé,Accion por el clima,"Consumo local, Eficiencia energética","Educación a otras personas, Proyecto comunitario, Contenido en redes",No escucho música,Capibara: Te llevas bien con todes,Papas,8,Paciencia infinita
2/19/2026 16:29:06,Hombre,29,Guerrero,Ciencias,Principiante,Nunca lo usé,Nunca lo usé,Salud y bienestar,"Reciclo, Consumo local",Donaciones,Clásica,"Buh@: Eres una persona nocturna, piensas mucho",Café,2,Entender cualquier conjunto de datos
2/19/2026 16:38:35,Hombre,22,Veracruz,Ingenierías,Intermedio,Principiante,Nunca lo usé,Energia asequible y no contaminante,"Transporte público, Separo basura, Consumo local",Ninguna aún,Hip-hop,"Gat@: Eres independiente, apareces cuando quieres y no cuando quieren",Papas,0,Debuggear código con la mente
2/19/2026 16:39:28,No binarie,25,CDMX,Ciencias,Intermedio,Nunca lo usé,Intermedio,Agua limpia y saneamiento,"Reciclo, Transporte público, Separo basura, Consumo local, Eficiencia energética",Educación a otras personas,Lo-fi/Chill,"Gat@: Eres independiente, apareces cuando quieres y no cuando quieren",Café,5,Hablar cualquier idioma
2/19/2026 16:40:49,Hombre,23,Estado de México,Ciencias,Avanzado,Nunca lo usé,Principiante,Producción y consumo responsables,"Reciclo, Transporte público, Uso bicicleta, Separo basura, Consumo local",Firma de peticiones,Otra,Golden retriever: Entusiasta y leal,Gomitas,0,Debuggear código con la mente
2/19/2026 16:44:11,Hombre,19,CDMX,Ingenierías,Principiante,Nunca lo usé,Principiante,Accion por el clima,"Transporte público, Uso bicicleta, Consumo local, Eficiencia energética",Contenido en redes,Electrónica,Capibara: Te llevas bien con todes,Café,0,Hablar cualquier idioma
2/19/2026 16:44:14,Hombre,19,Aguascalientes,Ingenierías,Intermedio,Nunca lo usé,Principiante,Vida de ecosistemas terrestres,"Reciclo, Separo basura, Consumo local, Eficiencia energética",Ninguna aún,Rock,Golden retriever: Entusiasta y leal,Papas,1,Paciencia infinita
2/19/2026 16:44:54,Hombre,29,Estado de México,Ciencias,Avanzado,Intermedio,Nunca lo usé,Agua limpia y saneamiento,"Uso bicicleta, Eficiencia energética",Ninguna aún,Rock,Ajolote: Se adapta a todo,Galletas,6,Debuggear código con la mente
2/19/2026 16:45:09,Mujer,29,Estado de México,Ingenierías,Intermedio,Principiante,Principiante,Reduccion de las desigualdades,"Reciclo, Transporte público, Consumo local",Ninguna aún,No escucho música,"Buh@: Eres una persona nocturna, piensas mucho",Pizza,8,Paciencia infinita
2/19/2026 16:46:29,Mujer,23,CDMX,Ciencias,Principiante,Nunca lo usé,Principiante,Educacion de calidad,Separo basura,"Marcha o protesta, Educación a otras personas, Proyecto comunitario, Voluntariado en acciones relacionadas",Clásica,Golden retriever: Entusiasta y leal,Galletas,3,Entender cualquier conjunto de datos
